iter	Passed	Remaining
0	57	57782
1	58	29121
2	59	19627
3	59	14831
4	60	11954
5	60	10064
6	61	8719
7	62	7710
8	62	6916
9	63	6270
10	63	5742
11	64	5303
12	64	4931
13	65	4605
14	65	4330
15	66	4087
16	67	3879
17	67	3689
18	68	3519
19	68	3370
20	69	3233
21	69	3106
22	70	2989
23	70	2883
24	71	2787
25	71	2697
26	72	2615
27	73	2540
28	73	2467
29	74	2403
30	74	2340
31	75	2280
32	75	2223
33	76	2174
34	77	2124
35	77	2079
36	78	2039
37	78	1999
38	79	1958
39	79	1919
40	80	1885
41	81	1851
42	81	1819
43	82	1787
44	82	1757
45	83	1731
46	84	1703
47	84	1677
48	85	1653
49	85	1630
50	86	1606
51	86	1583
52	87	1561
53	87	1540
54	88	1521
55	89	1502
56	89	1485
57	90	1467
58	90	1449
59	91	1434
60	92	1417
61	92	1401
62	93	1387
63	93	1372
64	94	1358
65	94	1343
66	95	1328
67	95	1315
68	96	1302
69	97	1289
70	97	1277
71	98	1266
72	98	1255
73	99	1244
74	99	1233
75	100	1222
76	101	1212
77	101	1201
78	102	1191
79	102	1182
80	103	1173
81	103	1163
82	104	1151
83	104	1143
84	105	1135
85	106	1127
86	106	1119
87	107	1111
88	107	1103
89	108	1095
90	108	1087
91	109	1079
92	109	1072
93	110	1064
94	111	1057
95	111	1051
96	112	1044
97	113	1045
98	114	1038
99	114	1032
100	115	1026
101	115	1020
102	116	1014
103	117	1008
104	117	1001
105	118	996
106	118	990
107	119	985
108	119	980
109	120	974
110	121	969
111	121	964
112	122	963
113	123	958
114	123	953
115	124	948
116	124	942
117	125	937
118	125	932
119	126	927
120	127	922
121	127	917
122	128	912
123	128	908
124	129	903
125	129	899
126	130	893
127	130	889
128	131	886
129	131	882
130	132	878
131	132	874
132	133	870
133	134	867
134	134	864
135	135	860
136	136	857
137	136	854
138	137	851
139	138	849
140	139	847
141	139	842
142	139	838
143	140	835
144	141	833
145	141	830
146	142	826
147	143	823
148	143	820
149	144	818
150	144	815
151	145	812
152	146	808
153	146	806
154	147	803
155	148	801
156	148	798
157	149	795
158	149	793
159	150	791
160	151	787
161	151	785
162	152	782
163	153	780
164	153	778
165	154	775
166	155	773
167	155	770
168	156	767
169	156	765
170	157	763
171	158	761
172	158	759
173	159	757
174	160	755
175	160	752
176	161	749
177	161	747
178	162	745
179	163	742
180	163	740
181	164	738
182	164	736
183	165	733
184	166	732
185	166	730
186	167	728
187	168	726
188	168	724
189	169	722
190	169	719
191	170	717
192	171	715
193	171	713
194	172	712
195	173	710
196	173	708
197	174	707
198	175	705
199	175	703
200	176	701
201	177	699
202	177	697
203	178	695
204	178	693
205	179	691
206	180	689
207	180	687
208	181	685
209	181	683
210	182	682
211	182	680
212	183	678
213	184	676
214	184	675
215	185	672
216	185	670
217	186	669
218	187	667
219	187	665
220	188	663
221	188	661
222	189	659
223	189	657
224	190	655
225	190	653
226	191	652
227	192	650
228	192	649
229	193	647
230	194	645
231	194	644
232	195	643
233	195	641
234	196	639
235	197	638
236	197	636
237	198	635
238	199	633
239	199	632
240	200	630
241	200	629
242	201	627
243	202	626
244	202	624
245	203	623
246	203	621
247	204	619
248	205	618
249	205	617
250	206	615
251	206	614
252	207	612
253	207	610
254	208	608
255	208	607
256	209	605
257	210	604
258	210	602
259	211	601
260	211	599
261	212	598
262	213	597
263	213	595
264	214	594
265	214	592
266	215	591
267	216	590
268	216	588
269	217	587
270	217	585
271	218	584
272	218	583
273	219	581
274	220	580
275	220	578
276	221	577
277	221	575
278	222	574
279	222	572
280	223	571
281	223	570
282	224	568
283	225	567
284	225	565
285	226	564
286	226	563
287	227	562
288	228	560
289	228	559
290	229	559
291	230	558
292	230	557
293	231	555
294	231	554
295	232	552
296	233	551
297	233	550
298	234	549
299	234	547
300	235	546
301	236	545
302	236	544
303	237	543
304	237	541
305	238	540
306	238	539
307	239	537
308	239	536
309	241	536
310	241	535
311	242	534
312	242	533
313	243	531
314	243	530
315	244	529
316	244	527
317	245	526
318	246	525
319	246	524
320	247	523
321	247	521
322	248	520
323	249	520
324	250	519
325	250	517
326	251	516
327	251	515
328	252	514
329	252	512
330	253	511
331	253	510
332	254	509
333	254	508
334	255	507
335	256	505
336	256	504
337	257	503
338	257	502
339	258	501
340	258	500
341	259	498
342	259	497
343	260	496
344	261	495
345	261	494
346	262	493
347	262	492
348	263	491
349	263	489
350	264	489
351	265	487
352	265	486
353	266	485
354	266	484
355	267	483
356	267	482
357	268	481
358	268	480
359	269	479
360	270	478
361	270	476
362	271	475
363	271	474
364	272	473
365	272	472
366	273	471
367	273	470
368	274	469
369	275	468
370	275	467
371	276	466
372	276	465
373	277	463
374	277	462
375	278	461
376	278	460
377	279	459
378	279	458
379	280	457
380	280	456
381	281	455
382	281	454
383	282	453
384	283	452
385	283	451
386	284	450
387	284	449
388	285	448
389	285	447
390	286	446
391	287	445
392	287	444
393	288	443
394	288	442
395	289	441
396	289	439
397	290	438
398	290	438
399	291	437
400	291	436
401	292	435
402	292	434
403	293	432
404	293	431
405	294	431
406	295	429
407	295	428
408	296	427
409	296	426
410	297	426
411	297	424
412	298	423
413	298	422
414	299	421
415	300	421
416	300	420
417	301	419
418	301	418
419	302	417
420	302	416
421	303	415
422	303	414
423	304	413
424	304	412
425	305	411
426	305	410
427	306	409
428	307	408
429	307	407
430	308	406
431	308	405
432	309	405
433	309	404
434	310	403
435	311	402
436	311	401
437	312	400
438	312	399
439	313	398
440	313	397
441	314	397
442	315	396
443	315	395
444	316	394
445	316	393
446	317	392
447	318	391
448	318	390
449	318	389
450	319	388
451	319	387
452	320	386
453	320	385
454	321	384
455	321	383
456	322	382
457	322	382
458	323	381
459	323	380
460	324	379
461	324	378
462	325	377
463	325	376
464	326	375
465	326	374
466	327	373
467	327	372
468	328	371
469	328	370
470	329	369
471	329	368
472	330	368
473	330	367
474	331	366
475	331	365
476	332	364
477	332	363
478	333	362
479	333	361
480	334	360
481	334	359
482	335	358
483	335	357
484	336	356
485	336	355
486	336	354
487	337	354
488	338	353
489	338	352
490	338	351
491	339	350
492	339	349
493	340	348
494	340	347
495	341	346
496	341	345
497	342	345
498	342	344
499	343	343
500	343	342
501	344	341
502	344	340
503	345	339
504	345	339
505	346	338
506	346	337
507	347	336
508	348	335
509	348	334
510	349	334
511	349	333
512	350	332
513	350	331
514	351	330
515	351	329
516	352	328
517	353	328
518	353	327
519	354	327
520	354	326
521	355	325
522	355	324
523	356	323
524	356	322
525	357	321
526	357	321
527	358	320
528	358	319
529	359	318
530	359	317
531	360	316
532	360	316
533	361	315
534	361	314
535	362	313
536	362	312
537	363	312
538	363	311
539	364	310
540	364	309
541	365	308
542	365	307
543	366	306
544	366	306
545	367	305
546	367	304
547	368	303
548	368	302
549	369	302
550	369	301
551	370	300
552	370	299
553	371	298
554	371	298
555	372	297
556	372	296
557	373	295
558	373	294
559	374	293
560	374	293
561	374	292
562	375	291
563	375	290
564	376	289
565	376	288
566	377	288
567	377	287
568	378	286
569	378	285
570	379	284
571	379	284
572	380	283
573	380	282
574	381	281
575	381	280
576	382	280
577	382	279
578	383	278
579	383	277
580	384	277
581	384	276
582	385	275
583	385	274
584	386	273
585	386	273
586	387	272
587	387	271
588	387	270
589	388	269
590	388	269
591	389	268
592	389	267
593	390	266
594	390	266
595	391	265
596	391	264
597	392	263
598	392	262
599	393	262
600	393	261
601	394	260
602	394	259
603	395	259
604	395	258
605	396	257
606	396	256
607	397	256
608	397	255
609	398	254
610	398	253
611	399	253
612	399	252
613	400	251
614	400	250
615	401	250
616	401	249
617	402	248
618	402	247
619	403	247
620	403	246
621	404	245
622	404	244
623	405	244
624	405	243
625	406	242
626	406	241
627	407	241
628	407	240
629	408	239
630	408	238
631	409	238
632	409	237
633	410	236
634	410	235
635	411	235
636	411	234
637	411	233
638	412	233
639	412	232
640	413	231
641	413	230
642	414	230
643	415	229
644	415	228
645	416	228
646	416	227
647	417	226
648	417	225
649	418	225
650	418	224
651	419	223
652	419	222
653	419	222
654	420	221
655	420	220
656	421	220
657	421	219
658	422	218
659	422	217
660	423	217
661	423	216
662	424	215
663	424	214
664	425	214
665	425	213
666	426	212
667	426	212
668	427	211
669	427	210
670	428	209
671	428	209
672	429	208
673	429	207
674	429	206
675	430	206
676	430	205
677	431	204
678	431	204
679	432	203
680	432	202
681	433	201
682	433	201
683	434	200
684	434	199
685	435	199
686	435	198
687	436	197
688	436	197
689	437	196
690	437	195
691	438	195
692	438	194
693	439	193
694	439	192
695	440	192
696	440	191
697	441	190
698	441	190
699	442	189
700	442	188
701	443	188
702	443	187
703	444	186
704	444	186
705	445	185
706	445	184
707	446	183
708	446	183
709	447	182
710	447	181
711	447	181
712	448	180
713	448	179
714	449	179
715	449	178
716	450	177
717	450	177
718	451	176
719	452	175
720	452	175
721	453	174
722	453	173
723	454	173
724	454	172
725	455	171
726	456	171
727	456	170
728	456	169
729	457	169
730	458	168
731	458	167
732	459	167
733	459	166
734	460	165
735	460	165
736	461	164
737	461	163
738	461	163
739	462	162
740	463	161
741	463	161
742	463	160
743	464	159
744	464	159
745	465	158
746	465	157
747	466	157
748	466	156
749	467	155
750	467	155
751	467	154
752	468	153
753	468	152
754	469	152
755	469	151
756	470	151
757	471	150
758	471	149
759	471	149
760	472	148
761	472	147
762	473	147
763	473	146
764	474	145
765	474	144
766	475	144
767	475	143
768	475	142
769	476	142
770	476	141
771	477	140
772	477	140
773	478	139
774	478	138
775	479	138
776	479	137
777	479	136
778	480	136
779	480	135
780	481	134
781	481	134
782	482	133
783	482	132
784	483	132
785	483	131
786	483	130
787	484	130
788	484	129
789	485	129
790	485	128
791	486	127
792	486	127
793	487	126
794	487	125
795	488	125
796	488	124
797	489	123
798	489	123
799	489	122
800	490	121
801	490	121
802	491	120
803	491	119
804	492	119
805	492	118
806	493	117
807	493	117
808	493	116
809	494	115
810	494	115
811	495	114
812	495	113
813	495	113
814	496	112
815	496	112
816	497	111
817	497	110
818	498	110
819	498	109
820	499	108
821	499	108
822	499	107
823	500	106
824	500	106
825	501	105
826	501	104
827	502	104
828	502	103
829	503	103
830	503	102
831	503	101
832	504	101
833	504	100
834	505	99
835	505	99
836	505	98
837	506	97
838	506	97
839	507	96
840	507	95
841	508	95
842	508	94
843	508	94
844	509	93
845	509	92
846	510	92
847	510	91
848	511	90
849	511	90
850	512	89
851	512	89
852	513	88
853	513	87
854	514	87
855	514	86
856	515	86
857	515	85
858	517	84
859	517	84
860	518	83
861	518	83
862	518	82
863	519	81
864	519	81
865	520	80
866	520	79
867	521	79
868	521	78
869	522	78
870	522	77
871	522	76
872	523	76
873	523	75
874	524	74
875	524	74
876	525	73
877	525	73
878	525	72
879	526	71
880	526	71
881	527	70
882	527	69
883	528	69
884	528	68
885	528	68
886	529	67
887	529	66
888	530	66
889	530	65
890	531	64
891	531	64
892	532	63
893	532	63
894	532	62
895	533	61
896	533	61
897	534	60
898	534	60
899	535	59
900	535	58
901	536	58
902	536	57
903	537	57
904	537	56
905	537	55
906	538	55
907	538	54
908	539	53
909	539	53
910	540	52
911	540	52
912	541	51
913	541	50
914	541	50
915	542	49
916	543	49
917	543	48
918	543	47
919	544	47
920	544	46
921	545	46
922	545	45
923	546	44
924	546	44
925	546	43
926	547	43
927	547	42
928	548	41
929	548	41
930	549	40
931	549	40
932	550	39
933	550	38
934	550	38
935	551	37
936	551	37
937	552	36
938	552	35
939	553	35
940	553	34
941	553	34
942	554	33
943	554	32
944	555	32
945	555	31
946	556	31
947	556	30
948	556	29
949	557	29
950	557	28
951	558	28
952	558	27
953	559	26
954	559	26
955	560	25
956	560	25
957	561	24
958	561	24
959	561	23
960	562	22
961	562	22
962	563	21
963	563	21
964	564	20
965	564	19
966	565	19
967	565	18
968	566	18
969	566	17
970	566	16
971	567	16
972	567	15
973	568	15
974	568	14
975	569	13
976	569	13
977	570	12
978	570	12
979	571	11
980	571	11
981	571	10
982	572	9
983	572	9
984	573	8
985	573	8
986	574	7
987	574	6
988	575	6
989	575	5
990	575	5
991	576	4
992	576	4
993	577	3
994	577	2
995	578	2
996	578	1
997	579	1
998	579	0
999	580	0
